N,P,K,temperature,humidity,ph,rainfall,label
94,44,40,20.923066613474354,82.31913730453391,6.506834177054221,210.10417845989258,rice
97,41,40,18.736808518521936,81.35140840203786,6.823358297675235,194.75017688561576,rice
85,43,37,18.235318900485733,81.4875675328794,6.396723178098185,207.15285556346112,rice
89,39,42,20.132646059666104,84.96991914295803,6.494932958179125,194.79687039440464,rice
93,45,44,23.58118381487383,82.72093325031213,6.504079613147761,204.58902431196944,rice
92,42,47,17.93878048407835,85.2240449366433,6.273110606295723,209.31490093786346,rice
87,42,42,19.41630836274832,80.21272559569657,6.28241070378005,203.27457272291184,rice
93,46,56,19.898624365060606,84.06197453605202,6.699402840700847,204.82786310423933,rice
91,37,41,20.02992233024556,82.50611326080124,6.502807806498211,195.45738271710923,rice
86,41,45,21.396589934371647,83.26670083324093,6.1931016466094535,203.88567746511814,rice
84,56,44,21.574206123178534,82.37332398445768,6.967651339910349,230.1388229202356,rice
92,58,46,20.779865917132767,76.8498853885661,7.110548428579672,223.35670971746092,rice
85,57,40,21.3146370163997,77.3406023498521,7.028437405985169,222.4540271928516,rice
87,59,39,22.65057093234685,78.51186982231619,7.260956799753881,221.64949819994393,rice
85,60,40,20.712803488913742,79.7200733292367,7.221095882367896,223.98537788123437,rice
83,56,37,22.98500431784744,80.21113369267957,7.0607103610608135,228.5385493782449,rice
82,60,39,23.345811829982665,79.82023810772333,7.125664002617656,220.2285061797044,rice
88,61,40,21.350891318017492,79.71918053659695,7.169345099512454,229.01907570770015,rice
88,55,37,22.378181827589056,80.24640091530581,7.091954034603393,222.737145510765,rice
84,57,42,22.419541160389176,77.99866876212592,7.417903271643493,220.6131361616196,rice
56,55,40,22.53297966660171,79.90968562953358,7.903400315307012,252.62999375685024,rice
66,55,39,23.956208848132434,82.80873142383813,7.889225156802071,265.8561967115666,rice
58,53,44,24.769882782288764,79.97370003359052,8.123042305666289,260.9976718386489,rice
59,56,37,23.449326035088642,80.9844073468823,7.734538962368911,254.3878577706024,rice
63,55,40,22.244578924852192,83.34452025459984,7.639314378849242,270.70611013308854,rice
61,56,43,22.683373390142943,82.75587520995387,7.9587078062435,262.8459630122806,rice
57,52,47,22.47308471178773,80.93429780395637,8.021018891659551,264.895255131646,rice
59,57,41,23.675805629228257,84.89776558823021,8.146361522664465,267.4710297315065,rice
52,51,51,24.05823083785262,81.44530602607865,7.988405595695243,254.37529310399484,rice
59,58,40,23.89471116863463,80.99922039943195,7.6917799933540065,261.88534998926593,rice
69,35,37,28.61393487779564,78.98455066567219,7.09125844688564,239.02866888950877,rice
79,35,38,28.028907779193666,79.91811384559853,6.954050363900686,241.36530150998323,rice
73,34,39,27.37053295173859,78.84822400426927,6.898429906324633,247.43878903910263,rice
69,39,36,24.42281344876524,82.36697575085651,7.156780212805337,247.66252582043808,rice
68,30,40,27.74880538085376,80.31878222028801,7.128303469893151,243.24315353480284,rice
68,39,40,26.08644904340052,80.35730842631865,6.876173675579028,245.64295425438874,rice
72,36,37,29.306199646602543,80.61607193322158,6.62700809238406,239.2137705843802,rice
75,36,41,25.309049487527894,79.28867653679042,6.9258954828994606,242.97347407331637,rice
75,39,37,26.297507504231053,81.11060853064414,7.0081035673249,247.73957763346417,rice
73,33,40,28.370121862181968,78.65207005028306,7.019296690273062,248.32776038787503,rice
79,44,43,20.44830748029444,82.74201018849831,7.547916048376071,260.64846726036455,rice
81,42,42,18.19437307088589,78.27993025877302,7.390567356001837,263.852875861106,rice
81,44,40,21.669595690077145,81.18165383931664,7.720682064657345,261.3937126180478,rice
83,42,43,20.567040626944245,84.68565050706123,7.661161569468776,255.09102577688196,rice
76,44,44,20.89669799496364,79.25575439430713,7.248016338471043,256.42962953621674,rice
78,46,38,20.84947222071413,81.27398195726148,8.084344776987042,269.0954961606145,rice
76,42,46,20.92090059283452,81.88575013641024,7.827950322361127,261.96335415846465,rice
77,37,44,19.389311861184403,84.91691962775067,7.352765752038688,268.4580026976807,rice
80,43,44,20.157153656111078,80.96454522816747,7.532112833628499,254.16927823464903,rice
76,37,42,20.52683331969317,81.27483116241048,8.017533039304707,265.68616363545624,rice
66,36,38,22.565147788762943,82.50322076341052,6.678849872826726,247.75246767509623,rice
67,36,40,22.901173324800077,82.731284157475,7.2242859581366,247.693715160082,rice
61,39,40,24.205643836315613,83.0749716301314,7.259329786179561,253.70744545980935,rice
